GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1004.0,2006-06-01T00:00:00.000000000,"[0.09217372536659241, -0.00042732394649647176, 0.026030095294117928, 0.1715460568666458]","[0.08270838111639023, 0.08400511741638184, 0.08890469372272491, 0.05286354944109917]"
1004.0,2006-09-01T00:00:00.000000000,"[-0.00042732394649647176, 0.026030095294117928, 0.1715460568666458, 1.5473331212997437]","[0.08313653618097305, 0.08413179218769073, 0.09276314079761505, 0.07717586308717728]"
1004.0,2006-12-01T00:00:00.000000000,"[0.026030095294117928, 0.1715460568666458, 1.5473331212997437, -0.1062571182847023]","[0.07823272049427032, 0.07826276123523712, 0.07912512123584747, 0.052293725311756134]"
1004.0,2007-03-01T00:00:00.000000000,"[0.1715460568666458, 1.5473331212997437, -0.1062571182847023, -0.2650018036365509]","[0.04284758120775223, 0.03688039630651474, 0.042349398136138916, 0.02682136744260788]"
1004.0,2007-06-01T00:00:00.000000000,"[1.5473331212997437, -0.1062571182847023, -0.2650018036365509, -0.13271458446979523]","[0.09856751561164856, 0.0876079723238945, 0.08561094105243683, 0.09043771028518677]"
1004.0,2007-09-01T00:00:00.000000000,"[-0.1062571182847023, -0.2650018036365509, -0.13271458446979523, -0.04011349380016327]","[0.5452017188072205, 0.4683777093887329, 0.5102352499961853, 0.4619516432285309]"
1004.0,2007-12-01T00:00:00.000000000,"[-0.2650018036365509, -0.13271458446979523, -0.04011349380016327, 0.18477477133274078]","[0.3745303153991699, 0.29814237356185913, 0.33502253890037537, 0.14498913288116455]"
1004.0,2008-03-01T00:00:00.000000000,"[-0.13271458446979523, -0.04011349380016327, 0.18477477133274078, -0.11948583275079727]","[-0.08543837815523148, 0.14086675643920898, 0.015471689403057098, -0.03382977098226547]"
1004.0,2008-06-01T00:00:00.000000000,"[-0.04011349380016327, 0.18477477133274078, -0.11948583275079727, -0.0136560732498765]","[0.1298540234565735, 0.0496450774371624, 0.021273843944072723, 0.016792230308055878]"
1004.0,2008-09-01T00:00:00.000000000,"[0.18477477133274078, -0.11948583275079727, -0.0136560732498765, 0.1715460568666458]","[0.09046190977096558, 0.08849175274372101, 0.09466984122991562, 0.09135251492261887]"
