GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.8023386001586914, -0.6358791589736938, -0.6600847244262695, -0.8737198114395142]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.4039633870124817, -0.1681206226348877, -0.3287907540798187, -0.15392327308654785]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.4917670488357544, -0.771790623664856, -0.7089054584503174, -0.45823997259140015]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.9733433723449707, -1.0773429870605469, -0.8548460006713867, -0.5977965593338013]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.6832067370414734, -0.407848596572876, -0.4685042202472687, -0.6888556480407715]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.6228463649749756, -0.41146978735923767, -0.7286537289619446, -0.7667945623397827]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.6011853218078613, -1.2640268802642822, -0.9253249764442444, -0.6336085796356201]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-1.0395783185958862, -1.1562830209732056, -0.8472615480422974, -0.4987551271915436]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.951039731502533, -0.6832842826843262, -0.39722195267677307, -0.9179455041885376]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.6305629014968872, -0.4665125012397766, -0.679334282875061, -0.6730417013168335]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.7426249980926514, -1.2525651454925537, -0.9978005886077881, -0.6728851199150085]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.790387749671936, -0.7724814414978027, -0.6267063021659851, -0.38530218601226807]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.7662757039070129, -0.5836362242698669, -0.4904126226902008, -0.8050985336303711]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.5344918966293335, -0.3893568813800812, -0.5554975867271423, -0.534083902835846]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.6022536754608154, -0.7028829455375671, -0.6523723006248474, -0.5353682637214661]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.7186693549156189, -0.6944489479064941, -0.5739890933036804, -0.3486423194408417]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.718915581703186, -0.5435369610786438, -0.2746112644672394, -0.5637198090553284]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.45516523718833923, -0.3576892614364624, -0.5126013159751892, -0.5380126237869263]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.388782799243927, -0.7340695858001709, -0.7250968813896179, -0.6201085448265076]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.6147928833961487, -0.5656837821006775, -0.5625665783882141, -0.5736252665519714]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.5889992713928223, -0.5410032272338867, -0.5595500469207764, -0.5821276307106018]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.5322210192680359, -0.5083004236221313, -0.5548895597457886, -0.5298306345939636]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.5190451741218567, -0.510803759098053, -0.5291162729263306, -0.49116724729537964]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.4801272749900818, -0.42035239934921265, -0.4714851975440979, -0.4355025887489319]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.4982489347457886, -0.47295600175857544, -0.5219206213951111, -0.6574106812477112]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.3661217987537384, -0.39057475328445435, -0.5218198299407959, -0.5425831079483032]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[-0.10088711977005005, -0.22374942898750305, -0.3401515781879425, -0.32247352600097656]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.058296918869018555, -0.12913021445274353, -0.23965483903884888, -0.1774374544620514]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[2.0815415382385254, 2.0803396701812744, 2.1877501010894775, 1.9693758487701416]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[2.3676095008850098, 2.199221134185791, 2.088979721069336, 2.195383310317993]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.5383617877960205, 2.130356788635254, 2.170466184616089, 2.3384385108947754]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[2.0155513286590576, 2.1056742668151855, 2.1587870121002197, 2.1652042865753174]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.354977607727051, 2.320077419281006, 2.381939649581909, 2.1351499557495117]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.7004776000976562, 2.4579379558563232, 2.316129207611084, 2.4180679321289062]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.786748170852661, 2.336315631866455, 2.362384557723999, 2.5402069091796875]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.303342819213867, 2.3742525577545166, 2.390176773071289, 2.3974571228027344]"
