GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.5339223146438599, -0.4785694479942322, -0.48017945885658264, -0.5005221366882324]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.6015734076499939, -0.5490247011184692, -0.559177577495575, -0.5326300263404846]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.6097432374954224, -0.7040648460388184, -0.7758962512016296, -0.658088743686676]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.7307563424110413, -0.6878921985626221, -0.6881934404373169, -0.648558497428894]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.7401334047317505, -0.701770544052124, -0.6849550604820251, -0.6882309913635254]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.9036594033241272, -0.893359363079071, -0.9033111929893494, -0.8185141682624817]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.9004160165786743, -1.2328400611877441, -1.3890764713287354, -1.131352186203003]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.9767189621925354, -0.9491594433784485, -0.9643133878707886, -0.8262978196144104]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.8690434694290161, -0.8577651381492615, -0.8745999932289124, -0.789932906627655]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.900510311126709, -0.8507078886032104, -0.8197457790374756, -0.7512977123260498]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.5914138555526733, -0.5748480558395386, -0.5676760673522949, -0.5064098834991455]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.6972230672836304, -0.6853505373001099, -0.7022923231124878, -0.6281694769859314]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6633346676826477, -0.64823979139328, -0.6493246555328369, -0.5825825333595276]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.6869834661483765, -0.674796462059021, -0.6878734230995178, -0.6161742806434631]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.4818155765533447, -0.46803683042526245, -0.447843462228775, -0.3992052972316742]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.669205904006958, -0.6465256214141846, -0.6410819888114929, -0.5792826414108276]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.5835785269737244, -0.5591886043548584, -0.5251777172088623, -0.4791392683982849]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.46715182065963745, -0.4607778787612915, -0.4621807336807251, -0.42475855350494385]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.38537365198135376, -0.38091328740119934, -0.38186246156692505, -0.3361881971359253]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.5139253735542297, -0.5338455438613892, -0.5529834032058716, -0.5587669610977173]"
