GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.6082578897476196, -0.5372625589370728, -0.34532859921455383, -0.5313353538513184]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.3553921580314636, -0.2271299958229065, -0.4368593692779541, -0.42519208788871765]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.7996525764465332, -0.8308593034744263, -0.8119431734085083, -0.7530815601348877]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.7788005471229553, -0.8097302913665771, -0.6743340492248535, -0.6820662021636963]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.5321035981178284, -0.2450481653213501, -0.027347922325134277, -0.5112651586532593]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.5202001929283142, -0.28306108713150024, -0.7570661902427673, -0.5461322069168091]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.6915723085403442, -1.121607780456543, -1.2016785144805908, -0.9147534966468811]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.9187509417533875, -0.8839129209518433, -0.7807665467262268, -0.6128523349761963]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.757640540599823, -0.5373576283454895, -0.196325421333313, -0.7405575513839722]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.6919034123420715, -0.4769943654537201, -0.8296224474906921, -0.595502495765686]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.9265062808990479, -1.2336993217468262, -1.202390193939209, -1.0037329196929932]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.6443050503730774, -0.6489876508712769, -0.5066605806350708, -0.5854389667510986]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.5627270340919495, -0.5063222646713257, -0.4105789363384247, -0.5102479457855225]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.6201162338256836, -0.3935956060886383, -0.7337278723716736, -0.5524151921272278]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.7397345304489136, -0.6531770825386047, -0.7649178504943848, -0.6645826697349548]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.7657824158668518, -0.7071188688278198, -0.6831632256507874, -0.38133057951927185]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.5857422351837158, -0.5556660294532776, -0.5023015737533569, -0.5333392024040222]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.507328450679779, -0.33437380194664, -0.583338737487793, -0.45930367708206177]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.48601245880126953, -0.6834784746170044, -0.7526078224182129, -0.7091128826141357]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.5665026903152466, -0.5544013977050781, -0.5444279909133911, -0.5620617866516113]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.5472376346588135, -0.5265703201293945, -0.5302461981773376, -0.5484256744384766]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.559719443321228, -0.5270736217498779, -0.5644092559814453, -0.566567063331604]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.5373721718788147, -0.5423343777656555, -0.5204156637191772, -0.5482397079467773]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.42752641439437866, -0.42882901430130005, -0.43227964639663696, -0.47215861082077026]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.42691469192504883, -0.436101496219635, -0.4659547507762909, -0.5519994497299194]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.3833130896091461, -0.38494235277175903, -0.4735575318336487, -0.48987582325935364]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[0.006723463535308838, -0.22915711998939514, -0.24863377213478088, -0.2597533166408539]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.008614182472229004, -0.16304978728294373, -0.20204845070838928, -0.1375444233417511]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[2.097592353820801, 2.0663914680480957, 2.0861663818359375, 1.9131574630737305]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[2.4429402351379395, 2.1454720497131348, 2.0166513919830322, 2.2054920196533203]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.594507932662964, 2.046072483062744, 2.172612190246582, 2.468864679336548]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[1.9304981231689453, 2.105830669403076, 2.158090114593506, 2.3025970458984375]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.406759738922119, 2.3333632946014404, 2.3334734439849854, 2.1311163902282715]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.839113712310791, 2.3938591480255127, 2.2774248123168945, 2.518448829650879]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.931187629699707, 2.2695119380950928, 2.407219409942627, 2.7622249126434326]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.21026873588562, 2.3652379512786865, 2.427194356918335, 2.504788875579834]"
1300.0,2008-06-01T00:00:00.000000000,"[2.9516141414642334, 2.819601535797119, 3.127631425857544, 2.9516141414642334]","[2.6470274925231934, 2.5697813034057617, 2.5601892471313477, 2.319906234741211]"
1300.0,2008-09-01T00:00:00.000000000,"[2.819601535797119, 3.127631425857544, 2.9516141414642334, 3.259644031524658]","[3.158904552459717, 2.688009738922119, 2.512878656387329, 2.6974892616271973]"
1300.0,2008-12-01T00:00:00.000000000,"[3.127631425857544, 2.9516141414642334, 3.259644031524658, 3.1496336460113525]","[3.1313889026641846, 2.4684524536132812, 2.5622246265411377, 2.836834669113159]"
1300.0,2009-03-01T00:00:00.000000000,"[2.9516141414642334, 3.259644031524658, 3.1496336460113525, 3.369654893875122]","[2.5478556156158447, 2.7087109088897705, 2.728050947189331, 2.7862324714660645]"
1300.0,2009-06-01T00:00:00.000000000,"[3.259644031524658, 3.1496336460113525, 3.369654893875122, 3.5896763801574707]","[2.825101852416992, 2.9156389236450195, 2.8442094326019287, 2.7071781158447266]"
1300.0,2009-09-01T00:00:00.000000000,"[3.1496336460113525, 3.369654893875122, 3.5896763801574707, 3.8096976280212402]","[3.2956385612487793, 3.1373677253723145, 2.77687931060791, 2.827846050262451]"
1300.0,2009-12-01T00:00:00.000000000,"[3.369654893875122, 3.5896763801574707, 3.8096976280212402, 3.765693426132202]","[3.3715085983276367, 2.9313724040985107, 2.890841484069824, 2.911663770675659]"
1300.0,2010-03-01T00:00:00.000000000,"[3.5896763801574707, 3.8096976280212402, 3.765693426132202, 3.5016677379608154]","[2.8876848220825195, 3.14617919921875, 3.100339412689209, 3.022554636001587]"
1300.0,2010-06-01T00:00:00.000000000,"[3.8096976280212402, 3.765693426132202, 3.5016677379608154, 3.523669719696045]","[3.130452871322632, 3.369548797607422, 3.360241413116455, 3.1565823554992676]"
