GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.6387536525726318, -0.6914762258529663, -0.7213655710220337, -0.7355296015739441]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.8662470579147339, -0.848113477230072, -0.8574554920196533, -0.7853614687919617]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.9080142378807068, -0.8829569220542908, -0.8884897828102112, -0.8089343905448914]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.9411212205886841, -0.9139093160629272, -0.9187869429588318, -0.8383480310440063]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.8682002425193787, -0.8472797870635986, -0.8435609936714172, -0.7815451622009277]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-1.0079119205474854, -0.9667423963546753, -0.9622670412063599, -0.8957791924476624]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.8723269104957581, -1.1785619258880615, -1.1507095098495483, -1.0396466255187988]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.9770351648330688, -0.9534000754356384, -0.9565225839614868, -0.8847898244857788]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.8985265493392944, -0.8749321699142456, -0.8221704959869385, -0.8262638449668884]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.8131475448608398, -0.7543749809265137, -0.7411481142044067, -0.6653965711593628]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.6740251183509827, -0.6333528161048889, -0.6355941891670227, -0.5881842374801636]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.7229552268981934, -0.6793668866157532, -0.6014520525932312, -0.6398278474807739]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6841937303543091, -0.6310986280441284, -0.5432141423225403, -0.590774655342102]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.6313067078590393, -0.6220820546150208, -0.6477081775665283, -0.5907975435256958]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.3871188759803772, -0.3653167486190796, -0.41709810495376587, -0.35141700506210327]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.7254194021224976, -0.6983463168144226, -0.6226234436035156, -0.6555514335632324]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.6388132572174072, -0.5907137989997864, -0.43648427724838257, -0.569584846496582]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.452725887298584, -0.4378264546394348, -0.4429774284362793, -0.43326127529144287]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.3914835453033447, -0.41529572010040283, -0.32181745767593384, -0.35770171880722046]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.5555775761604309, -0.5854533314704895, -0.5224000811576843, -0.5921159982681274]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.5788589715957642, -0.6068338751792908, -0.5421901941299438, -0.6020458936691284]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.5787984132766724, -0.6007197499275208, -0.6137306094169617, -0.5982852578163147]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.3988807201385498, -0.43082863092422485, -0.45372310280799866, -0.434147447347641]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.30475521087646484, -0.31912949681282043, -0.38690322637557983, -0.36444035172462463]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.42937493324279785, -0.4490163326263428, -0.42987391352653503, -0.48204708099365234]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.36726903915405273, -0.4238162040710449, -0.4556185007095337, -0.4544007480144501]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[-0.0962952971458435, -0.20532706379890442, -0.23558112978935242, -0.21886169910430908]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.04531294107437134, -0.07800030708312988, -0.16201862692832947, -0.13600224256515503]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[1.9270864725112915, 1.8568329811096191, 1.7635407447814941, 1.7478992938995361]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[2.087188243865967, 2.0081071853637695, 1.8636589050292969, 1.883857011795044]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.188671350479126, 2.1103196144104004, 1.9575684070587158, 1.9831558465957642]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[2.142642021179199, 2.0745465755462646, 1.9737064838409424, 1.9673147201538086]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.1788270473480225, 2.101374626159668, 2.0097203254699707, 1.9826780557632446]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.339823007583618, 2.2354679107666016, 2.078127145767212, 2.0929722785949707]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.4627108573913574, 2.3688206672668457, 2.202631950378418, 2.227355718612671]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.4504292011260986, 2.375501871109009, 2.256760597229004, 2.255044460296631]"
1300.0,2008-06-01T00:00:00.000000000,"[2.9516141414642334, 2.819601535797119, 3.127631425857544, 2.9516141414642334]","[2.459806203842163, 2.3786416053771973, 2.283341407775879, 2.248011350631714]"
1300.0,2008-09-01T00:00:00.000000000,"[2.819601535797119, 3.127631425857544, 2.9516141414642334, 3.259644031524658]","[2.6650004386901855, 2.550982713699341, 2.3741369247436523, 2.39255690574646]"
1300.0,2008-12-01T00:00:00.000000000,"[3.127631425857544, 2.9516141414642334, 3.259644031524658, 3.1496336460113525]","[2.625494956970215, 2.5303027629852295, 2.383553981781006, 2.3984429836273193]"
1300.0,2009-03-01T00:00:00.000000000,"[2.9516141414642334, 3.259644031524658, 3.1496336460113525, 3.369654893875122]","[2.8076469898223877, 2.7232842445373535, 2.550724983215332, 2.5868632793426514]"
1300.0,2009-06-01T00:00:00.000000000,"[3.259644031524658, 3.1496336460113525, 3.369654893875122, 3.5896763801574707]","[2.7984254360198975, 2.7168362140655518, 2.620591640472412, 2.568084478378296]"
1300.0,2009-09-01T00:00:00.000000000,"[3.1496336460113525, 3.369654893875122, 3.5896763801574707, 3.8096976280212402]","[3.038163185119629, 2.935065269470215, 2.7373762130737305, 2.768037796020508]"
1300.0,2009-12-01T00:00:00.000000000,"[3.369654893875122, 3.5896763801574707, 3.8096976280212402, 3.765693426132202]","[2.9855825901031494, 2.87884783744812, 2.70151424407959, 2.7266290187835693]"
1300.0,2010-03-01T00:00:00.000000000,"[3.5896763801574707, 3.8096976280212402, 3.765693426132202, 3.5016677379608154]","[3.128696918487549, 3.039987087249756, 2.85398530960083, 2.8935275077819824]"
1300.0,2010-06-01T00:00:00.000000000,"[3.8096976280212402, 3.765693426132202, 3.5016677379608154, 3.523669719696045]","[3.303638458251953, 3.199671745300293, 3.001701831817627, 3.026665210723877]"
1300.0,2010-09-01T00:00:00.000000000,"[3.765693426132202, 3.5016677379608154, 3.523669719696045, 3.919708251953125]","[3.454697847366333, 3.3478291034698486, 3.1293840408325195, 3.1669445037841797]"
1300.0,2010-12-01T00:00:00.000000000,"[3.5016677379608154, 3.523669719696045, 3.919708251953125, 3.875704050064087]","[3.447305202484131, 3.3365533351898193, 3.143078565597534, 3.164102077484131]"
1300.0,2011-03-01T00:00:00.000000000,"[3.523669719696045, 3.919708251953125, 3.875704050064087, 3.831699848175049]","[3.347470760345459, 3.241156816482544, 3.094360828399658, 3.0913338661193848]"
1300.0,2011-06-01T00:00:00.000000000,"[3.919708251953125, 3.875704050064087, 3.831699848175049, 4.161732196807861]","[3.4040627479553223, 3.2838692665100098, 3.1072139739990234, 3.131588935852051]"
1300.0,2011-09-01T00:00:00.000000000,"[3.875704050064087, 3.831699848175049, 4.161732196807861, 2.071528673171997]","[3.637578248977661, 3.519199848175049, 3.3200900554656982, 3.3438003063201904]"
1300.0,2011-12-01T00:00:00.000000000,"[3.831699848175049, 4.161732196807861, 2.071528673171997, 2.7315926551818848]","[3.522075653076172, 3.3850131034851074, 3.2883825302124023, 3.301927328109741]"
1300.0,2012-03-01T00:00:00.000000000,"[4.161732196807861, 2.071528673171997, 2.7315926551818848, 3.8537018299102783]","[3.8162641525268555, 3.6350693702697754, 3.7430214881896973, 3.648249864578247]"
1300.0,2012-06-01T00:00:00.000000000,"[2.071528673171997, 2.7315926551818848, 3.8537018299102783, 3.523669719696045]","[4.068730354309082, 3.83185076713562, 3.848942756652832, 3.851896047592163]"
1300.0,2012-09-01T00:00:00.000000000,"[2.7315926551818848, 3.8537018299102783, 3.523669719696045, 3.7436912059783936]","[2.7062714099884033, 2.763094902038574, 2.9429619312286377, 2.8218038082122803]"
1300.0,2012-12-01T00:00:00.000000000,"[3.8537018299102783, 3.523669719696045, 3.7436912059783936, 3.7436912059783936]","[2.86029052734375, 2.7936315536499023, 2.8455123901367188, 2.9318485260009766]"
1300.0,2013-03-01T00:00:00.000000000,"[3.523669719696045, 3.7436912059783936, 3.7436912059783936, 3.8977060317993164]","[3.7428696155548096, 3.637521743774414, 3.6255712509155273, 3.6512250900268555]"
1440.0,2006-06-01T00:00:00.000000000,"[1.0594303607940674, 1.5214751958847046, 0.35536178946495056, 2.115532875061035]","[1.4253009557724, 1.4099661111831665, 1.316807746887207, 1.363011360168457]"
1440.0,2006-09-01T00:00:00.000000000,"[1.5214751958847046, 0.35536178946495056, 2.115532875061035, 1.2354472875595093]","[1.2429934740066528, 1.1529321670532227, 1.4783577919006348, 1.2450615167617798]"
1440.0,2006-12-01T00:00:00.000000000,"[0.35536178946495056, 2.115532875061035, 1.2354472875595093, 1.6314857006072998]","[1.2521451711654663, 1.2966411113739014, 1.2523586750030518, 1.3143466711044312]"
1440.0,2007-03-01T00:00:00.000000000,"[2.115532875061035, 1.2354472875595093, 1.6314857006072998, 0.35536178946495056]","[0.786144495010376, 0.8164994120597839, 1.2465689182281494, 0.8873472213745117]"
1440.0,2007-06-01T00:00:00.000000000,"[1.2354472875595093, 1.6314857006072998, 0.35536178946495056, 1.5434772968292236]","[1.506377935409546, 1.4858216047286987, 1.3811018466949463, 1.4299299716949463]"
1440.0,2007-09-01T00:00:00.000000000,"[1.6314857006072998, 0.35536178946495056, 1.5434772968292236, 1.3894624710083008]","[1.4901387691497803, 1.4222289323806763, 1.7438569068908691, 1.5051929950714111]"
1440.0,2007-12-01T00:00:00.000000000,"[0.35536178946495056, 1.5434772968292236, 1.3894624710083008, 2.1595370769500732]","[1.243855595588684, 1.3217976093292236, 1.2964593172073364, 1.3690992593765259]"
1440.0,2008-03-01T00:00:00.000000000,"[1.5434772968292236, 1.3894624710083008, 2.1595370769500732, 0.7734025120735168]","[0.8368820548057556, 0.8715049028396606, 1.2831498384475708, 0.9208125472068787]"
1440.0,2008-06-01T00:00:00.000000000,"[1.3894624710083008, 2.1595370769500732, 0.7734025120735168, 1.4114645719528198]","[1.255162000656128, 1.2353935241699219, 1.1734516620635986, 1.2197463512420654]"
1440.0,2008-09-01T00:00:00.000000000,"[2.1595370769500732, 0.7734025120735168, 1.4114645719528198, 0.9494196176528931]","[1.4609225988388062, 1.3731582164764404, 1.614861011505127, 1.4049350023269653]"
1440.0,2008-12-01T00:00:00.000000000,"[0.7734025120735168, 1.4114645719528198, 0.9494196176528931, 1.7194944620132446]","[1.5909336805343628, 1.695953130722046, 1.637730598449707, 1.7233531475067139]"
1440.0,2009-03-01T00:00:00.000000000,"[1.4114645719528198, 0.9494196176528931, 1.7194944620132446, 1.1694409847259521]","[1.133939504623413, 1.1230427026748657, 1.64574134349823, 1.1923696994781494]"
1440.0,2009-06-01T00:00:00.000000000,"[0.9494196176528931, 1.7194944620132446, 1.1694409847259521, 1.4114645719528198]","[1.207856297492981, 1.180317759513855, 1.1413146257400513, 1.1829931735992432]"
1440.0,2009-09-01T00:00:00.000000000,"[1.7194944620132446, 1.1694409847259521, 1.4114645719528198, 1.5214751958847046]","[1.2350647449493408, 1.1875227689743042, 1.4714711904525757, 1.2542598247528076]"
1440.0,2009-12-01T00:00:00.000000000,"[1.1694409847259521, 1.4114645719528198, 1.5214751958847046, 2.071528673171997]","[1.2778651714324951, 1.3326064348220825, 1.3277348279953003, 1.3806440830230713]"
1440.0,2010-03-01T00:00:00.000000000,"[1.4114645719528198, 1.5214751958847046, 2.071528673171997, 0.8834132552146912]","[1.2177351713180542, 1.2506582736968994, 1.5750174522399902, 1.2788033485412598]"
1440.0,2010-06-01T00:00:00.000000000,"[1.5214751958847046, 2.071528673171997, 0.8834132552146912, 1.9175138473510742]","[1.3617619276046753, 1.3821403980255127, 1.3526438474655151, 1.3975192308425903]"
1440.0,2010-09-01T00:00:00.000000000,"[2.071528673171997, 0.8834132552146912, 1.9175138473510742, 1.499472975730896]","[1.6017210483551025, 1.501924753189087, 1.692105770111084, 1.5864031314849854]"
1440.0,2010-12-01T00:00:00.000000000,"[0.8834132552146912, 1.9175138473510742, 1.499472975730896, 2.5115716457366943]","[1.7467148303985596, 1.792833685874939, 1.7330964803695679, 1.7693753242492676]"
1440.0,2011-03-01T00:00:00.000000000,"[1.9175138473510742, 1.499472975730896, 2.5115716457366943, 0.6193875670433044]","[1.2438132762908936, 1.2972160577774048, 1.7969610691070557, 1.320425271987915]"
1440.0,2011-06-01T00:00:00.000000000,"[1.499472975730896, 2.5115716457366943, 0.6193875670433044, 1.5434772968292236]","[1.8452873229980469, 1.806046724319458, 1.6721948385238647, 1.719533920288086]"
1440.0,2011-09-01T00:00:00.000000000,"[2.5115716457366943, 0.6193875670433044, 1.5434772968292236, 1.6754902601242065]","[1.640439748764038, 1.527221918106079, 1.7839221954345703, 1.523174524307251]"
1440.0,2011-12-01T00:00:00.000000000,"[0.6193875670433044, 1.5434772968292236, 1.6754902601242065, 2.533573627471924]","[1.8684823513031006, 1.9158698320388794, 1.855654001235962, 1.9337267875671387]"
