GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.737373411655426, -0.50032639503479, -0.6161655187606812, -0.9707067608833313]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.5320680141448975, -0.2099042534828186, -0.33528679609298706, -0.5057693719863892]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.7028543949127197, -0.7312685251235962, -0.5521289110183716, -0.4312053918838501]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.739280641078949, -0.6674505472183228, -0.7339274883270264, -0.5124082565307617]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.478797048330307, -0.07446593046188354, -0.07284224033355713, -0.610413670539856]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.5658052563667297, -0.18277448415756226, -0.3728412389755249, -0.400316447019577]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.6992266178131104, -1.0086398124694824, -0.7662791013717651, -0.6263850331306458]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.8982662558555603, -0.8338153958320618, -0.6243065595626831, -0.35936909914016724]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.8229600787162781, -0.3937411308288574, -0.26683950424194336, -0.8273809552192688]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.6529773473739624, -0.37233859300613403, -0.5365478992462158, -0.511330246925354]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.878037691116333, -1.154653549194336, -0.8386242389678955, -0.7017064690589905]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.591992974281311, -0.47912341356277466, -0.5019853115081787, -0.256298303604126]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6161272525787354, -0.3029088079929352, -0.44593048095703125, -0.592390775680542]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.605456531047821, -0.4799317717552185, -0.568273663520813, -0.39697104692459106]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.47287243604660034, -0.6441985368728638, -0.5181063413619995, -0.44575250148773193]"
