GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.313791960477829, -0.4724602699279785, -0.7062969207763672, -1.128430724143982]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.27835559844970703, -0.02641087770462036, -0.19690823554992676, -0.3111611008644104]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.5564877986907959, -0.5439183115959167, -0.432135671377182, -0.42368531227111816]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.8588645458221436, -0.9340715408325195, -0.6258180141448975, -0.5230700969696045]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.25291454792022705, -0.3757818341255188, -0.2711595892906189, -0.7849637269973755]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.4707787334918976, -0.2623293995857239, -0.5671173334121704, -0.4379538297653198]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.5641950368881226, -1.0299724340438843, -0.7880692481994629, -0.5543100237846375]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-1.0310777425765991, -1.1119797229766846, -0.7333961129188538, -0.5882973670959473]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.5317022800445557, -0.6027569770812988, -0.44180595874786377, -0.6991822719573975]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.5418252944946289, -0.34992995858192444, -0.6732790470123291, -0.5363883972167969]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.6962496638298035, -1.0430456399917603, -0.8538650870323181, -0.6399807333946228]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.6388084888458252, -0.7061404585838318, -0.41334718465805054, -0.3871925473213196]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.4587269425392151, -0.49715009331703186, -0.41495203971862793, -0.7197474837303162]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.5738053321838379, -0.4269784688949585, -0.6583190560340881, -0.548361599445343]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.6283076405525208, -0.6238309741020203, -0.6646819114685059, -0.5575772523880005]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.765213131904602, -0.7976495623588562, -0.5315884351730347, -0.37857872247695923]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.3387046158313751, -0.43373072147369385, -0.11983835697174072, -0.5556445121765137]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.4078712463378906, -0.2815459668636322, -0.6113232374191284, -0.627023458480835]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.5898442268371582, -0.5711049437522888, -0.5882352590560913, -0.5459998846054077]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.47824832797050476, -0.5099208950996399, -0.4966968894004822, -0.6500539779663086]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.4877161979675293, -0.48950016498565674, -0.5408899188041687, -0.6452327370643616]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.49785417318344116, -0.48394668102264404, -0.5190911293029785, -0.6103882789611816]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.45242220163345337, -0.4832835793495178, -0.4775075614452362, -0.5927762389183044]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.3187801241874695, -0.3720119893550873, -0.4378185272216797, -0.5485610961914062]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.3158741891384125, -0.3881199359893799, -0.44787561893463135, -0.7343832850456238]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.3355507254600525, -0.31647422909736633, -0.5073543787002563, -0.6104065179824829]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[-0.1437535583972931, -0.1514987051486969, -0.29267212748527527, -0.34074366092681885]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.03315681219100952, -0.05355900526046753, -0.17575320601463318, -0.20586732029914856]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[2.083137035369873, 2.232856273651123, 2.3150553703308105, 1.925173044204712]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[2.2220523357391357, 2.4682960510253906, 2.1160311698913574, 2.21091628074646]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.3745508193969727, 2.239229440689087, 2.3203887939453125, 2.3167898654937744]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[2.053285837173462, 2.1909241676330566, 2.164428234100342, 2.214170455932617]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.3666369915008545, 2.4977989196777344, 2.513582229614258, 2.10721492767334]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.564814567565918, 2.713027000427246, 2.356391429901123, 2.467456340789795]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.634929656982422, 2.4656126499176025, 2.5166287422180176, 2.546488046646118]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.365554094314575, 2.4879744052886963, 2.426271915435791, 2.40750789642334]"
1300.0,2008-06-01T00:00:00.000000000,"[2.9516141414642334, 2.819601535797119, 3.127631425857544, 2.9516141414642334]","[2.6298325061798096, 2.716935634613037, 2.7106761932373047, 2.2513017654418945]"
1300.0,2008-09-01T00:00:00.000000000,"[2.819601535797119, 3.127631425857544, 2.9516141414642334, 3.259644031524658]","[2.788694381713867, 3.009291648864746, 2.5652880668640137, 2.6540215015411377]"
1300.0,2008-12-01T00:00:00.000000000,"[3.127631425857544, 2.9516141414642334, 3.259644031524658, 3.1496336460113525]","[2.7468667030334473, 2.5848844051361084, 2.637075662612915, 2.6371657848358154]"
1300.0,2009-03-01T00:00:00.000000000,"[2.9516141414642334, 3.259644031524658, 3.1496336460113525, 3.369654893875122]","[2.7224369049072266, 2.8852977752685547, 2.759845495223999, 2.69704008102417]"
1300.0,2009-06-01T00:00:00.000000000,"[3.259644031524658, 3.1496336460113525, 3.369654893875122, 3.5896763801574707]","[2.8463125228881836, 2.9690046310424805, 3.081040382385254, 2.527844190597534]"
1300.0,2009-09-01T00:00:00.000000000,"[3.1496336460113525, 3.369654893875122, 3.5896763801574707, 3.8096976280212402]","[3.0371408462524414, 3.3982393741607666, 2.9080519676208496, 3.0413551330566406]"
1300.0,2009-12-01T00:00:00.000000000,"[3.369654893875122, 3.5896763801574707, 3.8096976280212402, 3.765693426132202]","[2.9832510948181152, 2.963857650756836, 3.050281524658203, 3.1107921600341797]"
1300.0,2010-03-01T00:00:00.000000000,"[3.5896763801574707, 3.8096976280212402, 3.765693426132202, 3.5016677379608154]","[3.002594470977783, 3.2610392570495605, 3.145347833633423, 3.155256748199463]"
1300.0,2010-06-01T00:00:00.000000000,"[3.8096976280212402, 3.765693426132202, 3.5016677379608154, 3.523669719696045]","[3.270833969116211, 3.508571147918701, 3.4862864017486572, 3.055131435394287]"
1300.0,2010-09-01T00:00:00.000000000,"[3.765693426132202, 3.5016677379608154, 3.523669719696045, 3.919708251953125]","[3.374943256378174, 3.763939619064331, 3.4081528186798096, 3.5758235454559326]"
1300.0,2010-12-01T00:00:00.000000000,"[3.5016677379608154, 3.523669719696045, 3.919708251953125, 3.875704050064087]","[3.342884063720703, 3.5294766426086426, 3.5647592544555664, 3.5040969848632812]"
1300.0,2011-03-01T00:00:00.000000000,"[3.523669719696045, 3.919708251953125, 3.875704050064087, 3.831699848175049]","[3.3222427368164062, 3.5531697273254395, 3.4632511138916016, 3.3508176803588867]"
1300.0,2011-06-01T00:00:00.000000000,"[3.919708251953125, 3.875704050064087, 3.831699848175049, 4.161732196807861]","[3.4345884323120117, 3.6766128540039062, 3.559007167816162, 3.3894410133361816]"
1300.0,2011-09-01T00:00:00.000000000,"[3.875704050064087, 3.831699848175049, 4.161732196807861, 2.071528673171997]","[3.5501301288604736, 3.822824001312256, 3.619807243347168, 3.725816488265991]"
1300.0,2011-12-01T00:00:00.000000000,"[3.831699848175049, 4.161732196807861, 2.071528673171997, 2.7315926551818848]","[3.6096367835998535, 3.8059678077697754, 3.8506789207458496, 3.7719225883483887]"
1300.0,2012-03-01T00:00:00.000000000,"[4.161732196807861, 2.071528673171997, 2.7315926551818848, 3.8537018299102783]","[3.693228006362915, 3.977572441101074, 3.8615968227386475, 3.708037853240967]"
1300.0,2012-06-01T00:00:00.000000000,"[2.071528673171997, 2.7315926551818848, 3.8537018299102783, 3.523669719696045]","[3.9047369956970215, 4.27490234375, 3.989757537841797, 3.9684770107269287]"
1300.0,2012-09-01T00:00:00.000000000,"[2.7315926551818848, 3.8537018299102783, 3.523669719696045, 3.7436912059783936]","[3.118973731994629, 3.1621153354644775, 3.3019285202026367, 3.380429267883301]"
1300.0,2012-12-01T00:00:00.000000000,"[3.8537018299102783, 3.523669719696045, 3.7436912059783936, 3.7436912059783936]","[3.0741653442382812, 3.1863925457000732, 3.2428982257843018, 3.488335609436035]"
1300.0,2013-03-01T00:00:00.000000000,"[3.523669719696045, 3.7436912059783936, 3.7436912059783936, 3.8977060317993164]","[3.5914711952209473, 3.739316701889038, 3.7763800621032715, 3.739607810974121]"
1440.0,2006-06-01T00:00:00.000000000,"[1.0594303607940674, 1.5214751958847046, 0.35536178946495056, 2.115532875061035]","[1.3615748882293701, 1.7927011251449585, 0.8237354159355164, 1.6376745700836182]"
1440.0,2006-09-01T00:00:00.000000000,"[1.5214751958847046, 0.35536178946495056, 2.115532875061035, 1.2354472875595093]","[1.9223543405532837, 0.9994850754737854, 1.5542445182800293, 1.191113829612732]"
1440.0,2006-12-01T00:00:00.000000000,"[0.35536178946495056, 2.115532875061035, 1.2354472875595093, 1.6314857006072998]","[1.0913459062576294, 1.3020660877227783, 0.8994899988174438, 1.599764347076416]"
1440.0,2007-03-01T00:00:00.000000000,"[2.115532875061035, 1.2354472875595093, 1.6314857006072998, 0.35536178946495056]","[1.0603437423706055, 1.084511637687683, 1.540456771850586, 0.7508692741394043]"
1440.0,2007-06-01T00:00:00.000000000,"[1.2354472875595093, 1.6314857006072998, 0.35536178946495056, 1.5434772968292236]","[1.4884421825408936, 2.068053722381592, 0.9234210252761841, 1.8323001861572266]"
1440.0,2007-09-01T00:00:00.000000000,"[1.6314857006072998, 0.35536178946495056, 1.5434772968292236, 1.3894624710083008]","[2.041036367416382, 1.0204678773880005, 1.583385705947876, 1.3801251649856567]"
1440.0,2007-12-01T00:00:00.000000000,"[0.35536178946495056, 1.5434772968292236, 1.3894624710083008, 2.1595370769500732]","[1.0781525373458862, 1.265634536743164, 1.0033849477767944, 1.7826859951019287]"
1440.0,2008-03-01T00:00:00.000000000,"[1.5434772968292236, 1.3894624710083008, 2.1595370769500732, 0.7734025120735168]","[0.968845546245575, 0.9928789138793945, 1.501587986946106, 0.6855407953262329]"
1440.0,2008-06-01T00:00:00.000000000,"[1.3894624710083008, 2.1595370769500732, 0.7734025120735168, 1.4114645719528198]","[1.3384207487106323, 1.7261732816696167, 0.8334877490997314, 1.6353890895843506]"
1440.0,2008-09-01T00:00:00.000000000,"[2.1595370769500732, 0.7734025120735168, 1.4114645719528198, 0.9494196176528931]","[1.857137680053711, 1.094881534576416, 1.5580792427062988, 1.3765742778778076]"
1440.0,2008-12-01T00:00:00.000000000,"[0.7734025120735168, 1.4114645719528198, 0.9494196176528931, 1.7194944620132446]","[1.3180992603302002, 1.637257695198059, 1.2087024450302124, 1.9058825969696045]"
1440.0,2009-03-01T00:00:00.000000000,"[1.4114645719528198, 0.9494196176528931, 1.7194944620132446, 1.1694409847259521]","[1.2833746671676636, 1.2958110570907593, 1.7433274984359741, 0.9256387948989868]"
1440.0,2009-06-01T00:00:00.000000000,"[0.9494196176528931, 1.7194944620132446, 1.1694409847259521, 1.4114645719528198]","[1.5648729801177979, 1.9573280811309814, 0.9089670777320862, 1.6770074367523193]"
1440.0,2009-09-01T00:00:00.000000000,"[1.7194944620132446, 1.1694409847259521, 1.4114645719528198, 1.5214751958847046]","[1.9501011371612549, 0.9388065338134766, 1.4819592237472534, 1.3883848190307617]"
1440.0,2009-12-01T00:00:00.000000000,"[1.1694409847259521, 1.4114645719528198, 1.5214751958847046, 2.071528673171997]","[1.0813392400741577, 1.2820558547973633, 1.0155340433120728, 1.869575023651123]"
1440.0,2010-03-01T00:00:00.000000000,"[1.4114645719528198, 1.5214751958847046, 2.071528673171997, 0.8834132552146912]","[1.35531747341156, 1.3549693822860718, 1.8586311340332031, 0.9538154006004333]"
1440.0,2010-06-01T00:00:00.000000000,"[1.5214751958847046, 2.071528673171997, 0.8834132552146912, 1.9175138473510742]","[1.604915976524353, 2.0027358531951904, 0.9782254099845886, 1.6694250106811523]"
1440.0,2010-09-01T00:00:00.000000000,"[2.071528673171997, 0.8834132552146912, 1.9175138473510742, 1.499472975730896]","[2.0626819133758545, 1.0815215110778809, 1.5878983736038208, 1.5450598001480103]"
1440.0,2010-12-01T00:00:00.000000000,"[0.8834132552146912, 1.9175138473510742, 1.499472975730896, 2.5115716457366943]","[1.1266453266143799, 1.2507916688919067, 1.0873662233352661, 1.8952271938323975]"
1440.0,2011-03-01T00:00:00.000000000,"[1.9175138473510742, 1.499472975730896, 2.5115716457366943, 0.6193875670433044]","[1.388471007347107, 1.4106236696243286, 1.9098094701766968, 0.9212509393692017]"
1440.0,2011-06-01T00:00:00.000000000,"[1.499472975730896, 2.5115716457366943, 0.6193875670433044, 1.5434772968292236]","[1.7176415920257568, 2.1590797901153564, 1.1010950803756714, 1.8533101081848145]"
1440.0,2011-09-01T00:00:00.000000000,"[2.5115716457366943, 0.6193875670433044, 1.5434772968292236, 1.6754902601242065]","[2.2137746810913086, 1.1720527410507202, 1.7102272510528564, 1.6388442516326904]"
1440.0,2011-12-01T00:00:00.000000000,"[0.6193875670433044, 1.5434772968292236, 1.6754902601242065, 2.533573627471924]","[1.3646453619003296, 1.602698564529419, 1.2576285600662231, 2.1275827884674072]"
1440.0,2012-03-01T00:00:00.000000000,"[1.5434772968292236, 1.6754902601242065, 2.533573627471924, 1.2134451866149902]","[1.435659408569336, 1.4578657150268555, 2.014406681060791, 0.9802336692810059]"
1440.0,2012-06-01T00:00:00.000000000,"[1.6754902601242065, 2.533573627471924, 1.2134451866149902, 1.8295050859451294]","[1.7242200374603271, 2.1804943084716797, 1.1334267854690552, 1.921244740486145]"
1440.0,2012-09-01T00:00:00.000000000,"[2.533573627471924, 1.2134451866149902, 1.8295050859451294, 1.8955113887786865]","[2.4169135093688965, 1.1857434511184692, 1.791929006576538, 1.7599250078201294]"
1440.0,2012-12-01T00:00:00.000000000,"[1.2134451866149902, 1.8295050859451294, 1.8955113887786865, 2.4455649852752686]","[1.4728610515594482, 1.7762212753295898, 1.4195448160171509, 2.3145837783813477]"
1440.0,2013-03-01T00:00:00.000000000,"[1.8295050859451294, 1.8955113887786865, 2.4455649852752686, 1.455468773841858]","[1.721909523010254, 1.7133265733718872, 2.344667673110962, 1.201902985572815]"
1447.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.379558563232422, 1.9835201501846313, 2.5555758476257324]","[1.9827666282653809, 1.9823760986328125, 1.550247073173523, 1.4027596712112427]"
1447.0,2006-09-01T00:00:00.000000000,"[2.379558563232422, 1.9835201501846313, 2.5555758476257324, 2.42356276512146]","[1.9703034162521362, 1.9797146320343018, 1.9977874755859375, 1.8527941703796387]"
1447.0,2006-12-01T00:00:00.000000000,"[1.9835201501846313, 2.5555758476257324, 2.42356276512146, 2.027524471282959]","[2.0183005332946777, 2.08129620552063, 1.9134430885314941, 1.73905348777771]"
1447.0,2007-03-01T00:00:00.000000000,"[2.5555758476257324, 2.42356276512146, 2.027524471282959, 2.0055222511291504]","[2.050994396209717, 2.03218674659729, 1.946331262588501, 1.5313993692398071]"
1447.0,2007-06-01T00:00:00.000000000,"[2.42356276512146, 2.027524471282959, 2.0055222511291504, 2.4455649852752686]","[2.263124942779541, 2.3396425247192383, 1.8182047605514526, 1.7237659692764282]"
1447.0,2007-09-01T00:00:00.000000000,"[2.027524471282959, 2.0055222511291504, 2.4455649852752686, 3.919708251953125]","[2.1130478382110596, 2.10915207862854, 2.246422290802002, 1.9687283039093018]"
1447.0,2007-12-01T00:00:00.000000000,"[2.0055222511291504, 2.4455649852752686, 3.919708251953125, 1.9395159482955933]","[2.099914789199829, 2.159644842147827, 1.9166080951690674, 1.739746332168579]"
1447.0,2008-03-01T00:00:00.000000000,"[2.4455649852752686, 3.919708251953125, 1.9395159482955933, 1.2354472875595093]","[2.0157504081726074, 2.0372042655944824, 2.0257086753845215, 1.883975625038147]"
1447.0,2008-06-01T00:00:00.000000000,"[3.919708251953125, 1.9395159482955933, 1.2354472875595093, 2.2475459575653076]","[2.265160322189331, 2.3799962997436523, 1.9544904232025146, 1.9262442588806152]"
1447.0,2008-09-01T00:00:00.000000000,"[1.9395159482955933, 1.2354472875595093, 2.2475459575653076, 2.533573627471924]","[2.7309279441833496, 2.8850350379943848, 3.0063118934631348, 3.029369592666626]"
1447.0,2008-12-01T00:00:00.000000000,"[1.2354472875595093, 2.2475459575653076, 2.533573627471924, 2.5995800495147705]","[2.37214994430542, 2.458329677581787, 2.585740327835083, 2.2018930912017822]"
1447.0,2009-03-01T00:00:00.000000000,"[2.2475459575653076, 2.533573627471924, 2.5995800495147705, 2.775597333908081]","[2.0209708213806152, 2.1087942123413086, 2.0167479515075684, 2.0530123710632324]"
1447.0,2009-06-01T00:00:00.000000000,"[2.533573627471924, 2.5995800495147705, 2.775597333908081, 3.3916571140289307]","[2.2079389095306396, 2.4346818923950195, 2.0393455028533936, 2.386626720428467]"
1447.0,2009-09-01T00:00:00.000000000,"[2.5995800495147705, 2.775597333908081, 3.3916571140289307, 3.3476529121398926]","[2.3016905784606934, 2.309147834777832, 2.5957279205322266, 2.6139471530914307]"
1447.0,2009-12-01T00:00:00.000000000,"[2.775597333908081, 3.3916571140289307, 3.3476529121398926, 3.4356613159179688]","[2.4100418090820312, 2.490739345550537, 2.704500675201416, 2.5382726192474365]"
1447.0,2010-03-01T00:00:00.000000000,"[3.3916571140289307, 3.3476529121398926, 3.4356613159179688, 3.127631425857544]","[2.374246835708618, 2.4980716705322266, 2.296802520751953, 2.357361316680908]"
1447.0,2010-06-01T00:00:00.000000000,"[3.3476529121398926, 3.4356613159179688, 3.127631425857544, 3.721689224243164]","[2.494004011154175, 2.528120994567871, 2.5352442264556885, 2.5972161293029785]"
1447.0,2010-09-01T00:00:00.000000000,"[3.4356613159179688, 3.127631425857544, 3.721689224243164, 3.8537018299102783]","[2.8127994537353516, 2.892092227935791, 3.051870346069336, 3.311366081237793]"
1447.0,2010-12-01T00:00:00.000000000,"[3.127631425857544, 3.721689224243164, 3.8537018299102783, 3.875704050064087]","[3.1528918743133545, 3.3389861583709717, 3.606372356414795, 3.1935362815856934]"
1447.0,2011-03-01T00:00:00.000000000,"[3.721689224243164, 3.8537018299102783, 3.875704050064087, 3.765693426132202]","[3.2345592975616455, 3.546576499938965, 3.131138324737549, 2.943563938140869]"
1447.0,2011-06-01T00:00:00.000000000,"[3.8537018299102783, 3.875704050064087, 3.765693426132202, 0.20134682953357697]","[3.624753475189209, 3.51503324508667, 3.2689461708068848, 3.703494071960449]"
1447.0,2011-09-01T00:00:00.000000000,"[3.875704050064087, 3.765693426132202, 0.20134682953357697, -0.06267886608839035]","[3.2534313201904297, 3.2788426876068115, 3.4712586402893066, 3.844923496246338]"
