GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.6231120228767395, -0.600948691368103, -0.5796103477478027, -0.5575639009475708]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.636155366897583, -0.6123695373535156, -0.5839702486991882, -0.5545318126678467]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.7287945747375488, -0.7092241048812866, -0.6869117617607117, -0.6401650905609131]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.7602882981300354, -0.7412401437759399, -0.7195825576782227, -0.6733077764511108]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.7210777997970581, -0.6979563236236572, -0.668416440486908, -0.6355254054069519]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.882112979888916, -0.867652416229248, -0.8536065816879272, -0.7950331568717957]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.8356581330299377, -1.0162872076034546, -1.005442500114441, -0.8973599672317505]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-1.003543496131897, -0.9816113114356995, -0.9766653180122375, -0.8938192129135132]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.9483294486999512, -0.9280040264129639, -0.9228482246398926, -0.8458631634712219]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.7930209040641785, -0.7760722041130066, -0.7532080411911011, -0.7012898921966553]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.5907721519470215, -0.588707447052002, -0.5819724798202515, -0.5406507253646851]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.6723731160163879, -0.6680359840393066, -0.6609499454498291, -0.6138790845870972]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6013957262039185, -0.5988214612007141, -0.5920721292495728, -0.5497291684150696]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.7219856381416321, -0.7112671136856079, -0.7070639133453369, -0.6488898992538452]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.3607136905193329, -0.37032821774482727, -0.3678116202354431, -0.3392958343029022]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.633836567401886, -0.6283149719238281, -0.6220055222511292, -0.5770043134689331]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.5157225728034973, -0.509563684463501, -0.4931662380695343, -0.46166878938674927]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.44952869415283203, -0.4482898712158203, -0.4421839118003845, -0.4099099040031433]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.3939638137817383, -0.39536863565444946, -0.39215826988220215, -0.36106669902801514]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.5379801988601685, -0.5387876033782959, -0.5355224609375, -0.5290720462799072]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.5586161613464355, -0.5580225586891174, -0.5528615117073059, -0.5461022853851318]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.5841696262359619, -0.5835872888565063, -0.5805308818817139, -0.5708092451095581]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.4504506289958954, -0.4572131037712097, -0.45679837465286255, -0.45402371883392334]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.3555939197540283, -0.3664983808994293, -0.3672432005405426, -0.3678743541240692]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.4363725185394287, -0.44232261180877686, -0.44122186303138733, -0.43680089712142944]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.42884254455566406, -0.4333747923374176, -0.43066269159317017, -0.4277403652667999]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[-0.2030545473098755, -0.23854872584342957, -0.24196940660476685, -0.22506684064865112]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.11830943822860718, -0.13895368576049805, -0.14283683896064758, -0.1474534273147583]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[1.8926637172698975, 1.8597238063812256, 1.8589649200439453, 1.8628588914871216]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[1.9994083642959595, 1.968691349029541, 1.9673651456832886, 1.9633188247680664]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.1142117977142334, 2.077338218688965, 2.0748684406280518, 2.0729429721832275]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[2.0706498622894287, 2.0483410358428955, 2.0500388145446777, 2.043558120727539]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.149463415145874, 2.113283634185791, 2.1128573417663574, 2.1199653148651123]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.2748992443084717, 2.2261548042297363, 2.2229466438293457, 2.23776912689209]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.385875701904297, 2.3432281017303467, 2.3404431343078613, 2.3437747955322266]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.363851547241211, 2.33971905708313, 2.341468095779419, 2.3337039947509766]"
1300.0,2008-06-01T00:00:00.000000000,"[2.9516141414642334, 2.819601535797119, 3.127631425857544, 2.9516141414642334]","[2.413790464401245, 2.383939504623413, 2.3849384784698486, 2.3849105834960938]"
