GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1300.0,2006-06-01T00:00:00.000000000,"[1.831249713897705, 2.012662410736084, 1.9320343732833862, 1.8917205333709717]","[1.4722249507904053, 1.5217242240905762, 1.5353320837020874, 1.5415681600570679]"
1300.0,2006-09-01T00:00:00.000000000,"[2.012662410736084, 1.9320343732833862, 1.8917205333709717, 2.093290090560913]","[1.495755910873413, 1.5453202724456787, 1.5590176582336426, 1.5672602653503418]"
1300.0,2006-12-01T00:00:00.000000000,"[1.9320343732833862, 1.8917205333709717, 2.093290090560913, 2.274702548980713]","[1.5587003231048584, 1.609794020652771, 1.6239287853240967, 1.6331063508987427]"
1300.0,2007-03-01T00:00:00.000000000,"[1.8917205333709717, 2.093290090560913, 2.274702548980713, 2.234388589859009]","[1.6247682571411133, 1.6774241924285889, 1.691992163658142, 1.7013875246047974]"
1300.0,2007-06-01T00:00:00.000000000,"[2.093290090560913, 2.274702548980713, 2.234388589859009, 2.133604049682617]","[1.7294418811798096, 1.7839456796646118, 1.7989362478256226, 1.8061048984527588]"
1300.0,2007-09-01T00:00:00.000000000,"[2.274702548980713, 2.234388589859009, 2.133604049682617, 2.395644187927246]","[1.7189240455627441, 1.7724099159240723, 1.7872469425201416, 1.7980901002883911]"
1300.0,2007-12-01T00:00:00.000000000,"[2.234388589859009, 2.133604049682617, 2.395644187927246, 2.274702548980713]","[1.7620761394500732, 1.8164434432983398, 1.831514596939087, 1.8444108963012695]"
1300.0,2008-03-01T00:00:00.000000000,"[2.133604049682617, 2.395644187927246, 2.274702548980713, 2.5569000244140625]","[1.8175396919250488, 1.8732885122299194, 1.8887943029403687, 1.9027246236801147]"
1300.0,2008-06-01T00:00:00.000000000,"[2.395644187927246, 2.274702548980713, 2.5569000244140625, 2.395644187927246]","[1.8877930641174316, 1.944551706314087, 1.9602850675582886, 1.9737662076950073]"
1300.0,2008-09-01T00:00:00.000000000,"[2.274702548980713, 2.5569000244140625, 2.395644187927246, 2.6778416633605957]","[1.9159049987792969, 1.9733612537384033, 1.9894263744354248, 2.0053489208221436]"
1300.0,2008-12-01T00:00:00.000000000,"[2.5569000244140625, 2.395644187927246, 2.6778416633605957, 2.577056884765625]","[1.9320838451385498, 1.989393711090088, 2.005459785461426, 2.023601770401001]"
1300.0,2009-03-01T00:00:00.000000000,"[2.395644187927246, 2.6778416633605957, 2.577056884765625, 2.7786262035369873]","[2.129382371902466, 2.1932663917541504, 2.2110202312469482, 2.2246592044830322]"
1300.0,2009-06-01T00:00:00.000000000,"[2.6778416633605957, 2.577056884765625, 2.7786262035369873, 2.980195999145508]","[2.1338369846343994, 2.197225570678711, 2.214947462081909, 2.2313451766967773]"
1300.0,2009-09-01T00:00:00.000000000,"[2.577056884765625, 2.7786262035369873, 2.980195999145508, 3.18176531791687]","[2.3293581008911133, 2.3990912437438965, 2.4184107780456543, 2.430436372756958]"
1300.0,2009-12-01T00:00:00.000000000,"[2.7786262035369873, 2.980195999145508, 3.18176531791687, 3.141451358795166]","[2.3934242725372314, 2.464991569519043, 2.4847848415374756, 2.497346878051758]"
1300.0,2010-03-01T00:00:00.000000000,"[2.980195999145508, 3.18176531791687, 3.141451358795166, 2.8995678424835205]","[2.4833450317382812, 2.557635545730591, 2.5781731605529785, 2.5908050537109375]"
1300.0,2010-06-01T00:00:00.000000000,"[3.18176531791687, 3.141451358795166, 2.8995678424835205, 2.919724702835083]","[2.6020193099975586, 2.6775808334350586, 2.698399066925049, 2.7092769145965576]"
