GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1300.0,2006-06-01T00:00:00.000000000,"[1.831249713897705, 2.012662410736084, 1.9320343732833862, 1.8917205333709717]","[1.5283503532409668, 1.5106840133666992, 1.5033053159713745, 1.481360673904419]"
1300.0,2006-09-01T00:00:00.000000000,"[2.012662410736084, 1.9320343732833862, 1.8917205333709717, 2.093290090560913]","[1.6047425270080566, 1.7223751544952393, 1.5119222402572632, 1.6236591339111328]"
1300.0,2006-12-01T00:00:00.000000000,"[1.9320343732833862, 1.8917205333709717, 2.093290090560913, 2.274702548980713]","[1.745896816253662, 1.6715513467788696, 1.7469319105148315, 1.750678300857544]"
1300.0,2007-03-01T00:00:00.000000000,"[1.8917205333709717, 2.093290090560913, 2.274702548980713, 2.234388589859009]","[1.6662429571151733, 1.674424409866333, 1.6519029140472412, 1.7108726501464844]"
1300.0,2007-06-01T00:00:00.000000000,"[2.093290090560913, 2.274702548980713, 2.234388589859009, 2.133604049682617]","[1.7956113815307617, 1.8022029399871826, 1.7534167766571045, 1.7482373714447021]"
1300.0,2007-09-01T00:00:00.000000000,"[2.274702548980713, 2.234388589859009, 2.133604049682617, 2.395644187927246]","[1.8650059700012207, 1.9986417293548584, 1.7558447122573853, 1.8784244060516357]"
1300.0,2007-12-01T00:00:00.000000000,"[2.234388589859009, 2.133604049682617, 2.395644187927246, 2.274702548980713]","[1.9994497299194336, 1.928928017616272, 1.992417573928833, 2.008244752883911]"
1300.0,2008-03-01T00:00:00.000000000,"[2.133604049682617, 2.395644187927246, 2.274702548980713, 2.5569000244140625]","[1.9431231021881104, 1.9381418228149414, 1.9290823936462402, 1.9929239749908447]"
1300.0,2008-06-01T00:00:00.000000000,"[2.395644187927246, 2.274702548980713, 2.5569000244140625, 2.395644187927246]","[2.0554022789001465, 2.0518388748168945, 2.0122108459472656, 2.006929874420166]"
1300.0,2008-09-01T00:00:00.000000000,"[2.274702548980713, 2.5569000244140625, 2.395644187927246, 2.6778416633605957]","[2.160383701324463, 2.302340030670166, 2.0361762046813965, 2.170733690261841]"
1300.0,2008-12-01T00:00:00.000000000,"[2.5569000244140625, 2.395644187927246, 2.6778416633605957, 2.577056884765625]","[2.154171943664551, 2.0805697441101074, 2.150822639465332, 2.165869951248169]"
1300.0,2009-03-01T00:00:00.000000000,"[2.395644187927246, 2.6778416633605957, 2.577056884765625, 2.7786262035369873]","[2.2206757068634033, 2.215189218521118, 2.1977500915527344, 2.267366409301758]"
1300.0,2009-06-01T00:00:00.000000000,"[2.6778416633605957, 2.577056884765625, 2.7786262035369873, 2.980195999145508]","[2.351369619369507, 2.305708408355713, 2.3175041675567627, 2.262882947921753]"
1300.0,2009-09-01T00:00:00.000000000,"[2.577056884765625, 2.7786262035369873, 2.980195999145508, 3.18176531791687]","[2.4592947959899902, 2.628249168395996, 2.3158693313598633, 2.4630908966064453]"
1300.0,2009-12-01T00:00:00.000000000,"[2.7786262035369873, 2.980195999145508, 3.18176531791687, 3.141451358795166]","[2.437157392501831, 2.345580577850342, 2.450882911682129, 2.443228006362915]"
1300.0,2010-03-01T00:00:00.000000000,"[2.980195999145508, 3.18176531791687, 3.141451358795166, 2.8995678424835205]","[2.4715373516082764, 2.4747202396392822, 2.468966484069824, 2.532909393310547]"
1300.0,2010-06-01T00:00:00.000000000,"[3.18176531791687, 3.141451358795166, 2.8995678424835205, 2.919724702835083]","[2.7007412910461426, 2.674271583557129, 2.672421455383301, 2.6492128372192383]"
1300.0,2010-09-01T00:00:00.000000000,"[3.141451358795166, 2.8995678424835205, 2.919724702835083, 3.2825498580932617]","[2.8050992488861084, 2.9173073768615723, 2.7071585655212402, 2.825532913208008]"
1300.0,2010-12-01T00:00:00.000000000,"[2.8995678424835205, 2.919724702835083, 3.2825498580932617, 3.2422361373901367]","[2.869278907775879, 2.795997142791748, 2.8734970092773438, 2.857757806777954]"
1300.0,2011-03-01T00:00:00.000000000,"[2.919724702835083, 3.2825498580932617, 3.2422361373901367, 3.2019221782684326]","[2.7432398796081543, 2.821768045425415, 2.702704429626465, 2.7754411697387695]"
1300.0,2011-06-01T00:00:00.000000000,"[3.2825498580932617, 3.2422361373901367, 3.2019221782684326, 3.504276752471924]","[2.7878000736236572, 2.8435494899749756, 2.7468557357788086, 2.799309253692627]"
1300.0,2011-09-01T00:00:00.000000000,"[3.2422361373901367, 3.2019221782684326, 3.504276752471924, 1.5893663167953491]","[2.9227304458618164, 2.9781365394592285, 2.87954044342041, 2.978698968887329]"
1300.0,2011-12-01T00:00:00.000000000,"[3.2019221782684326, 3.504276752471924, 1.5893663167953491, 2.194074869155884]","[3.2020370960235596, 3.1648058891296387, 3.2276110649108887, 3.1356496810913086]"
1300.0,2012-03-01T00:00:00.000000000,"[3.504276752471924, 1.5893663167953491, 2.194074869155884, 3.222079038619995]","[3.166746139526367, 3.177093505859375, 3.174678325653076, 3.0970816612243652]"
1300.0,2012-06-01T00:00:00.000000000,"[1.5893663167953491, 2.194074869155884, 3.222079038619995, 2.919724702835083]","[3.351938486099243, 3.4077634811401367, 3.3122670650482178, 3.2767491340637207]"
